pc_time,count,rssi,len,mac,esp_time
5837,1296.0,128,0EA06D7AA587,2026-04-27T09:52:32.037930,-81
5838,1297.0,128,0EA06D7AA587,2026-04-27T09:52:32.298921,-81
5839,1297.0,128,0EA06D7AA587,2026-04-27T09:52:32.756520,-81
5840,1297.0,128,0EA06D7AA587,2026-04-27T09:52:32.785676,-81
5841,1297.0,128,0EA06D7AA587,2026-04-27T09:52:32.887620,-80
5842,1298.0,128,0EA06D7AA587,2026-04-27T09:52:33.368285,-80
5843,1298.0,128,0EA06D7AA587,2026-04-27T09:52:33.805524,-81
5844,1298.0,128,0EA06D7AA587,2026-04-27T09:52:33.832494,-81
5845,1298.0,128,0EA06D7AA587,2026-04-27T09:52:33.868936,-81
5846,1299.0,128,0EA06D7AA587,2026-04-27T09:52:34.492760,-81
5847,1299.0,128,0EA06D7AA587,2026-04-27T09:52:34.591996,-80
5848,1299.0,128,0EA06D7AA587,2026-04-27T09:52:34.688945,-81
5849,1299.0,128,0EA06D7AA587,2026-04-27T09:52:34.988968,-82
5850,1300.0,128,0EA06D7AA587,2026-04-27T09:52:35.100673,-83
5851,1300.0,128,0EA06D7AA587,2026-04-27T09:52:35.448889,-81
5852,1300.0,128,0EA06D7AA587,2026-04-27T09:52:35.721155,-82
5853,1300.0,128,0EA06D7AA587,2026-04-27T09:52:35.928874,-81
5854,1300.0,128,0EA06D7AA587,2026-04-27T09:52:36.031476,-81
5855,1301.0,128,0EA06D7AA587,2026-04-27T09:52:36.128866,-81
5856,1301.0,128,0EA06D7AA587,2026-04-27T09:52:36.232969,-81
5857,1301.0,128,0EA06D7AA587,2026-04-27T09:52:36.641659,-80
5858,1301.0,128,0EA06D7AA587,2026-04-27T09:52:36.746143,-81
5859,1301.0,128,0EA06D7AA587,2026-04-27T09:52:36.781945,-82
5860,1301.0,128,0EA06D7AA587,2026-04-27T09:52:36.946492,-80
5861,1301.0,128,0EA06D7AA587,2026-04-27T09:52:36.989288,-81
5862,1302.0,128,0EA06D7AA587,2026-04-27T09:52:38.000313,-82
5863,1302.0,128,0EA06D7AA587,2026-04-27T09:52:38.029458,-80
5864,1303.0,128,0EA06D7AA587,2026-04-27T09:52:38.126023,-80
5865,1303.0,128,0EA06D7AA587,2026-04-27T09:52:38.592847,-81
5866,1304.0,128,0EA06D7AA587,2026-04-27T09:52:39.048562,-81
5867,1304.0,128,0EA06D7AA587,2026-04-27T09:52:39.181198,-80
5868,1304.0,128,0EA06D7AA587,2026-04-27T09:52:39.299523,-81
5869,1304.0,128,0EA06D7AA587,2026-04-27T09:52:39.403344,-80
5870,1304.0,128,0EA06D7AA587,2026-04-27T09:52:39.713104,-81
5871,1305.0,128,0EA06D7AA587,2026-04-27T09:52:40.100590,-81
5872,1305.0,128,0EA06D7AA587,2026-04-27T09:52:40.129863,-81
5873,1305.0,128,0EA06D7AA587,2026-04-27T09:52:40.945256,-83
5874,1306.0,128,0EA06D7AA587,2026-04-27T09:52:41.152719,-81
5875,1307.0,128,0EA06D7AA587,2026-04-27T09:52:42.788620,-82
5876,1308.0,128,0EA06D7AA587,2026-04-27T09:52:43.096837,-79
5877,1308.0,128,0EA06D7AA587,2026-04-27T09:52:43.241431,-81
5878,1308.0,128,0EA06D7AA587,2026-04-27T09:52:43.505639,-80
5879,1308.0,128,0EA06D7AA587,2026-04-27T09:52:43.599707,-81
5880,1308.0,128,0EA06D7AA587,2026-04-27T09:52:43.836632,-80
5881,1308.0,128,0EA06D7AA587,2026-04-27T09:52:44.013400,-80
5882,1309.0,128,0EA06D7AA587,2026-04-27T09:52:44.289671,-82
5883,1309.0,128,0EA06D7AA587,2026-04-27T09:52:44.438935,-81
5884,1309.0,128,0EA06D7AA587,2026-04-27T09:52:44.633693,-82
5885,1309.0,128,0EA06D7AA587,2026-04-27T09:52:44.884998,-81
5886,1310.0,128,0EA06D7AA587,2026-04-27T09:52:45.135825,-82
5887,1310.0,128,0EA06D7AA587,2026-04-27T09:52:45.345468,-81
5888,1310.0,128,0EA06D7AA587,2026-04-27T09:52:45.469798,-82
5889,1310.0,128,0EA06D7AA587,2026-04-27T09:52:45.936640,-80
5890,1311.0,128,0EA06D7AA587,2026-04-27T09:52:46.061266,-81
5891,1311.0,128,0EA06D7AA587,2026-04-27T09:52:46.162102,-80
5892,1311.0,128,0EA06D7AA587,2026-04-27T09:52:46.573434,-80
5893,1311.0,128,0EA06D7AA587,2026-04-27T09:52:46.688996,-81
5894,1311.0,128,0EA06D7AA587,2026-04-27T09:52:46.984973,-81
5895,1312.0,128,0EA06D7AA587,2026-04-27T09:52:47.085240,-81
5896,1312.0,128,0EA06D7AA587,2026-04-27T09:52:47.436709,-82
5897,1312.0,128,0EA06D7AA587,2026-04-27T09:52:47.588559,-81
5898,1312.0,128,0EA06D7AA587,2026-04-27T09:52:47.689793,-81
5899,1312.0,128,0EA06D7AA587,2026-04-27T09:52:48.032228,-83
5900,1313.0,128,0EA06D7AA587,2026-04-27T09:52:48.537629,-80
5901,1313.0,128,0EA06D7AA587,2026-04-27T09:52:48.614475,-81
5902,1313.0,128,0EA06D7AA587,2026-04-27T09:52:48.698638,-80
5903,1313.0,128,0EA06D7AA587,2026-04-27T09:52:48.824007,-80
5904,1314.0,128,0EA06D7AA587,2026-04-27T09:52:49.080542,-80
5905,1314.0,128,0EA06D7AA587,2026-04-27T09:52:49.377247,-81
5906,1314.0,128,0EA06D7AA587,2026-04-27T09:52:49.530063,-82
5907,1314.0,128,0EA06D7AA587,2026-04-27T09:52:49.558382,-81
5908,1315.0,128,0EA06D7AA587,2026-04-27T09:52:50.613170,-83
5909,1315.0,128,0EA06D7AA587,2026-04-27T09:52:50.880126,-81
5910,1316.0,128,0EA06D7AA587,2026-04-27T09:52:51.184476,-81
5911,1316.0,128,0EA06D7AA587,2026-04-27T09:52:51.299943,-80
5912,1316.0,128,0EA06D7AA587,2026-04-27T09:52:51.636140,-83
5913,1316.0,128,0EA06D7AA587,2026-04-27T09:52:51.905097,-80
5914,1317.0,128,0EA06D7AA587,2026-04-27T09:52:52.224600,-83
5915,1317.0,128,0EA06D7AA587,2026-04-27T09:52:52.303677,-84
5916,1317.0,128,0EA06D7AA587,2026-04-27T09:52:52.412900,-82
5917,1317.0,128,0EA06D7AA587,2026-04-27T09:52:52.680430,-83
5918,1318.0,128,0EA06D7AA587,2026-04-27T09:52:53.273146,-83
5919,1318.0,128,0EA06D7AA587,2026-04-27T09:52:53.440528,-83
5920,1318.0,128,0EA06D7AA587,2026-04-27T09:52:53.537332,-83
5921,1318.0,128,0EA06D7AA587,2026-04-27T09:52:53.748955,-84
5922,1318.0,128,0EA06D7AA587,2026-04-27T09:52:53.778496,-83
5923,1318.0,128,0EA06D7AA587,2026-04-27T09:52:53.949745,-81
5924,1319.0,128,0EA06D7AA587,2026-04-27T09:52:54.098940,-80
5925,1319.0,128,0EA06D7AA587,2026-04-27T09:52:54.460547,-83
5926,1319.0,128,0EA06D7AA587,2026-04-27T09:52:54.561373,-82
5927,1319.0,128,0EA06D7AA587,2026-04-27T09:52:54.776730,-81
5928,1320.0,128,0EA06D7AA587,2026-04-27T09:52:55.381246,-81
5929,1320.0,128,0EA06D7AA587,2026-04-27T09:52:55.479516,-81
5930,1320.0,128,0EA06D7AA587,2026-04-27T09:52:55.583476,-81
5931,1320.0,128,0EA06D7AA587,2026-04-27T09:52:55.856408,-81
5932,1320.0,128,0EA06D7AA587,2026-04-27T09:52:55.956757,-79
5933,1320.0,128,0EA06D7AA587,2026-04-27T09:52:56.000969,-81
5934,1321.0,128,0EA06D7AA587,2026-04-27T09:52:56.201110,-79
5935,1321.0,128,0EA06D7AA587,2026-04-27T09:52:56.505688,-81
5936,1321.0,128,0EA06D7AA587,2026-04-27T09:52:56.712813,-81
5937,1321.0,128,0EA06D7AA587,2026-04-27T09:52:56.873094,-80
5938,1321.0,128,0EA06D7AA587,2026-04-27T09:52:56.903049,-81
5939,1321.0,128,0EA06D7AA587,2026-04-27T09:52:57.020741,-82
5940,1322.0,128,0EA06D7AA587,2026-04-27T09:52:57.257662,-80
5941,1322.0,128,0EA06D7AA587,2026-04-27T09:52:57.465794,-82
5942,1322.0,128,0EA06D7AA587,2026-04-27T09:52:57.633147,-81
5943,1322.0,128,0EA06D7AA587,2026-04-27T09:52:57.737673,-80
5944,1323.0,128,0EA06D7AA587,2026-04-27T09:52:58.152288,-81
5945,1323.0,128,0EA06D7AA587,2026-04-27T09:52:58.516763,-82
5946,1323.0,128,0EA06D7AA587,2026-04-27T09:52:58.761038,-80
5947,1323.0,128,0EA06D7AA587,2026-04-27T09:52:58.810883,-81
5948,1324.0,128,0EA06D7AA587,2026-04-27T09:52:59.105267,-80
5949,1324.0,128,0EA06D7AA587,2026-04-27T09:52:59.280967,-80
5950,1324.0,128,0EA06D7AA587,2026-04-27T09:52:59.581348,-81
5951,1324.0,128,0EA06D7AA587,2026-04-27T09:52:59.785246,-82
5952,1324.0,128,0EA06D7AA587,2026-04-27T09:53:00.049714,-83
5953,1325.0,128,0EA06D7AA587,2026-04-27T09:53:00.168306,-80
5954,1325.0,128,0EA06D7AA587,2026-04-27T09:53:00.293958,-81
5955,1325.0,128,0EA06D7AA587,2026-04-27T09:53:00.613129,-82
5956,1325.0,128,0EA06D7AA587,2026-04-27T09:53:00.840378,-81
5957,1326.0,128,0EA06D7AA587,2026-04-27T09:53:01.073906,-80
5958,1326.0,128,0EA06D7AA587,2026-04-27T09:53:01.103613,-81
5959,1326.0,128,0EA06D7AA587,2026-04-27T09:53:01.198053,-80
5960,1326.0,128,0EA06D7AA587,2026-04-27T09:53:01.745202,-80
5961,1326.0,128,0EA06D7AA587,2026-04-27T09:53:01.965987,-81
5962,1327.0,128,0EA06D7AA587,2026-04-27T09:53:02.249922,-80
5963,1327.0,128,0EA06D7AA587,2026-04-27T09:53:02.448652,-81
5964,1327.0,128,0EA06D7AA587,2026-04-27T09:53:02.712121,-83
5965,1327.0,128,0EA06D7AA587,2026-04-27T09:53:02.751328,-82
5966,1328.0,128,0EA06D7AA587,2026-04-27T09:53:03.472825,-83
5967,1328.0,128,0EA06D7AA587,2026-04-27T09:53:03.777848,-83
5968,1328.0,128,0EA06D7AA587,2026-04-27T09:53:03.988326,-83
5969,1329.0,128,0EA06D7AA587,2026-04-27T09:53:04.245520,-83
5970,1329.0,128,0EA06D7AA587,2026-04-27T09:53:04.344335,-84
5971,1329.0,128,0EA06D7AA587,2026-04-27T09:53:04.805820,-82
5972,1329.0,128,0EA06D7AA587,2026-04-27T09:53:04.900123,-81
5973,1330.0,128,0EA06D7AA587,2026-04-27T09:53:05.109382,-80
5974,1330.0,128,0EA06D7AA587,2026-04-27T09:53:05.277165,-81
5975,1330.0,128,0EA06D7AA587,2026-04-27T09:53:05.393392,-82
