pc_time,count,rssi,len,mac,esp_time
3475,748.0,128,0EA06D7AA587,2026-04-27T09:43:23.311027,-81
3476,748.0,128,0EA06D7AA587,2026-04-27T09:43:23.344800,-81
3477,748.0,128,0EA06D7AA587,2026-04-27T09:43:23.455376,-81
3478,748.0,128,0EA06D7AA587,2026-04-27T09:43:23.681267,-81
3479,748.0,128,0EA06D7AA587,2026-04-27T09:43:23.897904,-82
3480,749.0,128,0EA06D7AA587,2026-04-27T09:43:24.090757,-81
3481,749.0,128,0EA06D7AA587,2026-04-27T09:43:24.122427,-81
3482,749.0,128,0EA06D7AA587,2026-04-27T09:43:24.361201,-83
3483,749.0,128,0EA06D7AA587,2026-04-27T09:43:24.483822,-83
3484,749.0,128,0EA06D7AA587,2026-04-27T09:43:24.571109,-81
3485,749.0,128,0EA06D7AA587,2026-04-27T09:43:24.709845,-82
3486,750.0,128,0EA06D7AA587,2026-04-27T09:43:25.217866,-81
3487,750.0,128,0EA06D7AA587,2026-04-27T09:43:25.416280,-82
3488,750.0,128,0EA06D7AA587,2026-04-27T09:43:25.997230,-81
3489,750.0,128,0EA06D7AA587,2026-04-27T09:43:26.028877,-81
3490,751.0,128,0EA06D7AA587,2026-04-27T09:43:26.150084,-81
3491,751.0,128,0EA06D7AA587,2026-04-27T09:43:26.449960,-81
3492,751.0,128,0EA06D7AA587,2026-04-27T09:43:26.478702,-82
3493,751.0,128,0EA06D7AA587,2026-04-27T09:43:26.511093,-81
3494,752.0,128,0EA06D7AA587,2026-04-27T09:43:27.065270,-81
3495,752.0,128,0EA06D7AA587,2026-04-27T09:43:27.549261,-81
3496,752.0,128,0EA06D7AA587,2026-04-27T09:43:27.631553,-82
3497,752.0,128,0EA06D7AA587,2026-04-27T09:43:27.773884,-82
3498,752.0,128,0EA06D7AA587,2026-04-27T09:43:27.885078,-81
3499,753.0,128,0EA06D7AA587,2026-04-27T09:43:28.090046,-82
3500,753.0,128,0EA06D7AA587,2026-04-27T09:43:28.184360,-82
3501,753.0,128,0EA06D7AA587,2026-04-27T09:43:28.289372,-82
3502,753.0,128,0EA06D7AA587,2026-04-27T09:43:28.544238,-82
3503,753.0,128,0EA06D7AA587,2026-04-27T09:43:28.726338,-81
3504,753.0,128,0EA06D7AA587,2026-04-27T09:43:28.905942,-82
3505,754.0,128,0EA06D7AA587,2026-04-27T09:43:29.141371,-82
3506,754.0,128,0EA06D7AA587,2026-04-27T09:43:29.317191,-81
3507,754.0,128,0EA06D7AA587,2026-04-27T09:43:29.417328,-80
3508,754.0,128,0EA06D7AA587,2026-04-27T09:43:29.591368,-81
3509,754.0,128,0EA06D7AA587,2026-04-27T09:43:29.623899,-82
3510,755.0,128,0EA06D7AA587,2026-04-27T09:43:30.192971,-83
3511,755.0,128,0EA06D7AA587,2026-04-27T09:43:30.339954,-83
3512,755.0,128,0EA06D7AA587,2026-04-27T09:43:30.677814,-82
3513,755.0,128,0EA06D7AA587,2026-04-27T09:43:30.779388,-82
3514,756.0,128,0EA06D7AA587,2026-04-27T09:43:31.261207,-81
3515,756.0,128,0EA06D7AA587,2026-04-27T09:43:31.469078,-81
3516,756.0,128,0EA06D7AA587,2026-04-27T09:43:31.728979,-83
3517,756.0,128,0EA06D7AA587,2026-04-27T09:43:31.824405,-85
3518,757.0,128,0EA06D7AA587,2026-04-27T09:43:32.286125,-83
3519,757.0,128,0EA06D7AA587,2026-04-27T09:43:32.317110,-84
3520,757.0,128,0EA06D7AA587,2026-04-27T09:43:32.741768,-82
3521,757.0,128,0EA06D7AA587,2026-04-27T09:43:32.770267,-79
3522,757.0,128,0EA06D7AA587,2026-04-27T09:43:32.806872,-82
3523,758.0,128,0EA06D7AA587,2026-04-27T09:43:33.121680,-81
3524,758.0,128,0EA06D7AA587,2026-04-27T09:43:33.333328,-80
3525,758.0,128,0EA06D7AA587,2026-04-27T09:43:33.517385,-81
3526,758.0,128,0EA06D7AA587,2026-04-27T09:43:33.611200,-81
3527,758.0,128,0EA06D7AA587,2026-04-27T09:43:33.790001,-82
3528,758.0,128,0EA06D7AA587,2026-04-27T09:43:33.819247,-82
3529,758.0,128,0EA06D7AA587,2026-04-27T09:43:33.920522,-81
3530,758.0,128,0EA06D7AA587,2026-04-27T09:43:34.007365,-81
3531,759.0,128,0EA06D7AA587,2026-04-27T09:43:34.387752,-81
3532,759.0,128,0EA06D7AA587,2026-04-27T09:43:34.533092,-81
3533,759.0,128,0EA06D7AA587,2026-04-27T09:43:34.634033,-81
3534,759.0,128,0EA06D7AA587,2026-04-27T09:43:34.845642,-83
3535,759.0,128,0EA06D7AA587,2026-04-27T09:43:34.972815,-82
3536,760.0,128,0EA06D7AA587,2026-04-27T09:43:35.041706,-82
3537,761.0,128,0EA06D7AA587,2026-04-27T09:43:36.180569,-83
3538,761.0,128,0EA06D7AA587,2026-04-27T09:43:36.484696,-81
3539,761.0,128,0EA06D7AA587,2026-04-27T09:43:36.594073,-82
3540,762.0,128,0EA06D7AA587,2026-04-27T09:43:37.197648,-81
3541,762.0,128,0EA06D7AA587,2026-04-27T09:43:37.300736,-82
3542,762.0,128,0EA06D7AA587,2026-04-27T09:43:37.530011,-83
3543,762.0,128,0EA06D7AA587,2026-04-27T09:43:37.603974,-82
3544,762.0,128,0EA06D7AA587,2026-04-27T09:43:37.985545,-82
3545,762.0,128,0EA06D7AA587,2026-04-27T09:43:38.014519,-82
3546,763.0,128,0EA06D7AA587,2026-04-27T09:43:38.114459,-82
3547,763.0,128,0EA06D7AA587,2026-04-27T09:43:38.152117,-83
3548,763.0,128,0EA06D7AA587,2026-04-27T09:43:38.321861,-82
3549,763.0,128,0EA06D7AA587,2026-04-27T09:43:38.580989,-84
3550,763.0,128,0EA06D7AA587,2026-04-27T09:43:38.625510,-83
3551,763.0,128,0EA06D7AA587,2026-04-27T09:43:39.029792,-83
3552,764.0,128,0EA06D7AA587,2026-04-27T09:43:39.060106,-83
3553,764.0,128,0EA06D7AA587,2026-04-27T09:43:39.094081,-83
3554,764.0,128,0EA06D7AA587,2026-04-27T09:43:39.757557,-83
3555,764.0,128,0EA06D7AA587,2026-04-27T09:43:39.863305,-82
3556,765.0,128,0EA06D7AA587,2026-04-27T09:43:40.089759,-81
3557,765.0,128,0EA06D7AA587,2026-04-27T09:43:40.119936,-80
3558,765.0,128,0EA06D7AA587,2026-04-27T09:43:40.213973,-81
3559,765.0,128,0EA06D7AA587,2026-04-27T09:43:40.374222,-82
3560,765.0,128,0EA06D7AA587,2026-04-27T09:43:40.993174,-82
3561,766.0,128,0EA06D7AA587,2026-04-27T09:43:41.127016,-81
3562,766.0,128,0EA06D7AA587,2026-04-27T09:43:41.263401,-80
3563,766.0,128,0EA06D7AA587,2026-04-27T09:43:41.722165,-82
3564,766.0,128,0EA06D7AA587,2026-04-27T09:43:41.761148,-82
3565,766.0,128,0EA06D7AA587,2026-04-27T09:43:42.012894,-81
3566,767.0,128,0EA06D7AA587,2026-04-27T09:43:42.176565,-82
3567,767.0,128,0EA06D7AA587,2026-04-27T09:43:42.206070,-82
3568,767.0,128,0EA06D7AA587,2026-04-27T09:43:42.313881,-82
3569,767.0,128,0EA06D7AA587,2026-04-27T09:43:42.430060,-84
3570,767.0,128,0EA06D7AA587,2026-04-27T09:43:42.538185,-84
3571,767.0,128,0EA06D7AA587,2026-04-27T09:43:42.773553,-84
3572,767.0,128,0EA06D7AA587,2026-04-27T09:43:42.928302,-83
3573,768.0,128,0EA06D7AA587,2026-04-27T09:43:43.445516,-84
3574,768.0,128,0EA06D7AA587,2026-04-27T09:43:43.561421,-83
3575,768.0,128,0EA06D7AA587,2026-04-27T09:43:43.819771,-84
3576,768.0,128,0EA06D7AA587,2026-04-27T09:43:43.954159,-84
3577,769.0,128,0EA06D7AA587,2026-04-27T09:43:44.061733,-84
3578,769.0,128,0EA06D7AA587,2026-04-27T09:43:44.116898,-84
3579,769.0,128,0EA06D7AA587,2026-04-27T09:43:44.284967,-83
3580,769.0,128,0EA06D7AA587,2026-04-27T09:43:44.317756,-86
3581,769.0,128,0EA06D7AA587,2026-04-27T09:43:44.574336,-86
3582,770.0,128,0EA06D7AA587,2026-04-27T09:43:45.325441,-82
3583,770.0,128,0EA06D7AA587,2026-04-27T09:43:45.356858,-82
3584,770.0,128,0EA06D7AA587,2026-04-27T09:43:45.457839,-83
3585,770.0,128,0EA06D7AA587,2026-04-27T09:43:45.917097,-82
3586,770.0,128,0EA06D7AA587,2026-04-27T09:43:46.016349,-81
3587,771.0,128,0EA06D7AA587,2026-04-27T09:43:46.209702,-82
3588,771.0,128,0EA06D7AA587,2026-04-27T09:43:46.371969,-82
3589,771.0,128,0EA06D7AA587,2026-04-27T09:43:46.509984,-82
3590,771.0,128,0EA06D7AA587,2026-04-27T09:43:46.963284,-81
3591,772.0,128,0EA06D7AA587,2026-04-27T09:43:47.042088,-80
3592,772.0,128,0EA06D7AA587,2026-04-27T09:43:47.145086,-81
3593,772.0,128,0EA06D7AA587,2026-04-27T09:43:47.265430,-82
3594,772.0,128,0EA06D7AA587,2026-04-27T09:43:47.421823,-81
3595,772.0,128,0EA06D7AA587,2026-04-27T09:43:47.643246,-80
3596,772.0,128,0EA06D7AA587,2026-04-27T09:43:47.744129,-80
3597,772.0,128,0EA06D7AA587,2026-04-27T09:43:48.017038,-81
3598,773.0,128,0EA06D7AA587,2026-04-27T09:43:48.769218,-83
3599,774.0,128,0EA06D7AA587,2026-04-27T09:43:49.521756,-83
3600,774.0,128,0EA06D7AA587,2026-04-27T09:43:49.650300,-83
3601,775.0,128,0EA06D7AA587,2026-04-27T09:43:50.201719,-82
3602,775.0,128,0EA06D7AA587,2026-04-27T09:43:50.308118,-82
3603,775.0,128,0EA06D7AA587,2026-04-27T09:43:50.569458,-82
3604,775.0,128,0EA06D7AA587,2026-04-27T09:43:50.613555,-81
3605,775.0,128,0EA06D7AA587,2026-04-27T09:43:50.918506,-82
3606,776.0,128,0EA06D7AA587,2026-04-27T09:43:51.164753,-82
3607,776.0,128,0EA06D7AA587,2026-04-27T09:43:51.194995,-83
3608,776.0,128,0EA06D7AA587,2026-04-27T09:43:51.322902,-83
3609,776.0,128,0EA06D7AA587,2026-04-27T09:43:51.434247,-82
3610,776.0,128,0EA06D7AA587,2026-04-27T09:43:51.620446,-81
3611,776.0,128,0EA06D7AA587,2026-04-27T09:43:51.945083,-82
3612,776.0,128,0EA06D7AA587,2026-04-27T09:43:51.977984,-81
3613,777.0,128,0EA06D7AA587,2026-04-27T09:43:52.357982,-83
3614,778.0,128,0EA06D7AA587,2026-04-27T09:43:53.276438,-83
3615,778.0,128,0EA06D7AA587,2026-04-27T09:43:53.376184,-81
3616,778.0,128,0EA06D7AA587,2026-04-27T09:43:53.485389,-81
3617,778.0,128,0EA06D7AA587,2026-04-27T09:43:53.717187,-82
3618,778.0,128,0EA06D7AA587,2026-04-27T09:43:53.755239,-81
3619,779.0,128,0EA06D7AA587,2026-04-27T09:43:54.347344,-82
3620,779.0,128,0EA06D7AA587,2026-04-27T09:43:54.509245,-83
3621,779.0,128,0EA06D7AA587,2026-04-27T09:43:55.021721,-82
3622,780.0,128,0EA06D7AA587,2026-04-27T09:43:55.128653,-83
3623,780.0,128,0EA06D7AA587,2026-04-27T09:43:55.357030,-81
3624,780.0,128,0EA06D7AA587,2026-04-27T09:43:55.632519,-83
3625,780.0,128,0EA06D7AA587,2026-04-27T09:43:55.824191,-82
3626,780.0,128,0EA06D7AA587,2026-04-27T09:43:55.942986,-82
3627,780.0,128,0EA06D7AA587,2026-04-27T09:43:56.039593,-82
