pc_time,count,rssi,len,mac,esp_time
2072,443.0,128,0EA06D7AA587,2026-04-27T09:38:18.833161,-81
2073,444.0,128,0EA06D7AA587,2026-04-27T09:38:19.040713,-82
2074,444.0,128,0EA06D7AA587,2026-04-27T09:38:19.220096,-82
2075,444.0,128,0EA06D7AA587,2026-04-27T09:38:19.249869,-81
2076,444.0,128,0EA06D7AA587,2026-04-27T09:38:19.282376,-82
2077,444.0,128,0EA06D7AA587,2026-04-27T09:38:19.581216,-82
2078,444.0,128,0EA06D7AA587,2026-04-27T09:38:19.812800,-82
2079,445.0,128,0EA06D7AA587,2026-04-27T09:38:20.064718,-81
2080,445.0,128,0EA06D7AA587,2026-04-27T09:38:20.273374,-82
2081,445.0,128,0EA06D7AA587,2026-04-27T09:38:20.313055,-82
2082,445.0,128,0EA06D7AA587,2026-04-27T09:38:20.609634,-82
2083,445.0,128,0EA06D7AA587,2026-04-27T09:38:20.984862,-82
2084,446.0,128,0EA06D7AA587,2026-04-27T09:38:21.081981,-82
2085,446.0,128,0EA06D7AA587,2026-04-27T09:38:21.344218,-82
2086,446.0,128,0EA06D7AA587,2026-04-27T09:38:21.443186,-81
2087,446.0,128,0EA06D7AA587,2026-04-27T09:38:21.492761,-82
2088,447.0,128,0EA06D7AA587,2026-04-27T09:38:22.212979,-81
2089,447.0,128,0EA06D7AA587,2026-04-27T09:38:22.362517,-82
2090,447.0,128,0EA06D7AA587,2026-04-27T09:38:22.392250,-82
2091,447.0,128,0EA06D7AA587,2026-04-27T09:38:22.732385,-82
2092,447.0,128,0EA06D7AA587,2026-04-27T09:38:22.961556,-82
2093,448.0,128,0EA06D7AA587,2026-04-27T09:38:23.413071,-81
2094,448.0,128,0EA06D7AA587,2026-04-27T09:38:23.545919,-82
2095,448.0,128,0EA06D7AA587,2026-04-27T09:38:23.625087,-82
2096,449.0,128,0EA06D7AA587,2026-04-27T09:38:24.192253,-82
2097,449.0,128,0EA06D7AA587,2026-04-27T09:38:24.307715,-82
2098,449.0,128,0EA06D7AA587,2026-04-27T09:38:24.459782,-82
2099,449.0,128,0EA06D7AA587,2026-04-27T09:38:24.594062,-83
2100,449.0,128,0EA06D7AA587,2026-04-27T09:38:24.667193,-82
2101,450.0,128,0EA06D7AA587,2026-04-27T09:38:25.056579,-81
2102,450.0,128,0EA06D7AA587,2026-04-27T09:38:25.285096,-82
2103,450.0,128,0EA06D7AA587,2026-04-27T09:38:25.520687,-83
2104,450.0,128,0EA06D7AA587,2026-04-27T09:38:25.551054,-82
2105,450.0,128,0EA06D7AA587,2026-04-27T09:38:25.581226,-82
2106,450.0,128,0EA06D7AA587,2026-04-27T09:38:25.800152,-81
2107,451.0,128,0EA06D7AA587,2026-04-27T09:38:26.104392,-81
2108,451.0,128,0EA06D7AA587,2026-04-27T09:38:26.413136,-81
2109,451.0,128,0EA06D7AA587,2026-04-27T09:38:26.554893,-82
2110,451.0,128,0EA06D7AA587,2026-04-27T09:38:26.589866,-82
2111,451.0,128,0EA06D7AA587,2026-04-27T09:38:26.685806,-82
2112,451.0,128,0EA06D7AA587,2026-04-27T09:38:26.928347,-81
2113,452.0,128,0EA06D7AA587,2026-04-27T09:38:27.608518,-82
2114,452.0,128,0EA06D7AA587,2026-04-27T09:38:27.638490,-81
2115,452.0,128,0EA06D7AA587,2026-04-27T09:38:27.794455,-83
2116,453.0,128,0EA06D7AA587,2026-04-27T09:38:28.476592,-82
2117,453.0,128,0EA06D7AA587,2026-04-27T09:38:28.696318,-83
2118,453.0,128,0EA06D7AA587,2026-04-27T09:38:28.972749,-82
2119,453.0,128,0EA06D7AA587,2026-04-27T09:38:29.026396,-81
2120,454.0,128,0EA06D7AA587,2026-04-27T09:38:29.249124,-82
2121,454.0,128,0EA06D7AA587,2026-04-27T09:38:29.380202,-82
2122,454.0,128,0EA06D7AA587,2026-04-27T09:38:29.840421,-82
2123,455.0,128,0EA06D7AA587,2026-04-27T09:38:30.304444,-81
2124,455.0,128,0EA06D7AA587,2026-04-27T09:38:30.399565,-82
2125,455.0,128,0EA06D7AA587,2026-04-27T09:38:30.613060,-82
2126,455.0,128,0EA06D7AA587,2026-04-27T09:38:30.750140,-82
2127,455.0,128,0EA06D7AA587,2026-04-27T09:38:30.783753,-82
2128,455.0,128,0EA06D7AA587,2026-04-27T09:38:30.880518,-83
2129,455.0,128,0EA06D7AA587,2026-04-27T09:38:31.018088,-83
2130,456.0,128,0EA06D7AA587,2026-04-27T09:38:31.124107,-83
2131,456.0,128,0EA06D7AA587,2026-04-27T09:38:31.345563,-82
2132,456.0,128,0EA06D7AA587,2026-04-27T09:38:31.426370,-81
2133,456.0,128,0EA06D7AA587,2026-04-27T09:38:31.636169,-82
2134,456.0,128,0EA06D7AA587,2026-04-27T09:38:31.800904,-82
2135,456.0,128,0EA06D7AA587,2026-04-27T09:38:31.950042,-81
2136,457.0,128,0EA06D7AA587,2026-04-27T09:38:32.181144,-82
2137,457.0,128,0EA06D7AA587,2026-04-27T09:38:32.560473,-82
2138,458.0,128,0EA06D7AA587,2026-04-27T09:38:33.584142,-83
2139,458.0,128,0EA06D7AA587,2026-04-27T09:38:33.681572,-81
2140,458.0,128,0EA06D7AA587,2026-04-27T09:38:33.897819,-82
2141,458.0,128,0EA06D7AA587,2026-04-27T09:38:33.930205,-82
2142,459.0,128,0EA06D7AA587,2026-04-27T09:38:34.501577,-82
2143,459.0,128,0EA06D7AA587,2026-04-27T09:38:34.600797,-82
2144,459.0,128,0EA06D7AA587,2026-04-27T09:38:34.943968,-82
2145,459.0,128,0EA06D7AA587,2026-04-27T09:38:34.972378,-81
2146,459.0,128,0EA06D7AA587,2026-04-27T09:38:35.011002,-82
2147,460.0,128,0EA06D7AA587,2026-04-27T09:38:35.106286,-82
2148,460.0,128,0EA06D7AA587,2026-04-27T09:38:35.540926,-81
2149,460.0,128,0EA06D7AA587,2026-04-27T09:38:35.837343,-82
2150,460.0,128,0EA06D7AA587,2026-04-27T09:38:35.994091,-81
2151,461.0,128,0EA06D7AA587,2026-04-27T09:38:36.125291,-82
2152,461.0,128,0EA06D7AA587,2026-04-27T09:38:36.245210,-82
2153,461.0,128,0EA06D7AA587,2026-04-27T09:38:36.589533,-82
2154,461.0,128,0EA06D7AA587,2026-04-27T09:38:36.754304,-82
2155,461.0,128,0EA06D7AA587,2026-04-27T09:38:36.857422,-82
2156,462.0,128,0EA06D7AA587,2026-04-27T09:38:37.041882,-81
2157,462.0,128,0EA06D7AA587,2026-04-27T09:38:37.178072,-82
2158,462.0,128,0EA06D7AA587,2026-04-27T09:38:37.263804,-81
2159,462.0,128,0EA06D7AA587,2026-04-27T09:38:37.360893,-81
2160,462.0,128,0EA06D7AA587,2026-04-27T09:38:37.637746,-83
2161,462.0,128,0EA06D7AA587,2026-04-27T09:38:37.929390,-82
2162,463.0,128,0EA06D7AA587,2026-04-27T09:38:38.090297,-82
2163,463.0,128,0EA06D7AA587,2026-04-27T09:38:38.120360,-84
2164,463.0,128,0EA06D7AA587,2026-04-27T09:38:38.285789,-82
2165,463.0,128,0EA06D7AA587,2026-04-27T09:38:38.721436,-83
2166,463.0,128,0EA06D7AA587,2026-04-27T09:38:38.905068,-82
2167,463.0,128,0EA06D7AA587,2026-04-27T09:38:38.934948,-81
2168,464.0,128,0EA06D7AA587,2026-04-27T09:38:39.162054,-81
2169,464.0,128,0EA06D7AA587,2026-04-27T09:38:39.272907,-82
