label,label_id,source_file,source_path,take_id,target_mac,source_format,window_start,window_end,packet_count,duration,packet_rate,rssi_mean,rssi_std,rssi_min,rssi_max,rssi_range,rssi_median,rssi_q25,rssi_q75,rssi_iqr,rssi_diff_mean,rssi_diff_abs_mean,rssi_diff_std,rssi_diff_max_abs,len_mean,len_std,len_min,len_max,count_gap_mean,count_gap_std,count_gap_max,time_gap_mean,time_gap_std,time_gap_max
1_moving,2,1_moving_01.csv,./1_moving/1_moving_01.csv,1,0EA06D7AA587,shifted,1777283510.9493718,1777283515.9493718,16,4.835679054260254,3.3087390251641975,-82.0625,0.7473912964438374,-83.0,-81.0,2.0,-82.0,-83.0,-81.75,1.25,0.0,0.4,0.7302967433402214,2.0,128.0,0.0,128.0,128.0,1.0,0.0,1.0,0.32237860361735027,0.45666056392923243,1.9709839820861816
1_moving,2,1_moving_01.csv,./1_moving/1_moving_01.csv,1,0EA06D7AA587,shifted,1777283513.4493718,1777283518.4493718,17,4.933104991912842,3.44610545039467,-80.94117647058823,0.6389870877176598,-82.0,-80.0,2.0,-81.0,-81.0,-81.0,0.0,0.0,0.625,0.9354143466934853,2.0,128.0,0.0,128.0,128.0,1.0,0.0,1.0,0.3083190619945526,0.4485001700585717,1.9709839820861816
1_moving,2,1_moving_01.csv,./1_moving/1_moving_01.csv,1,0EA06D7AA587,shifted,1777283515.9493718,1777283520.9493718,21,4.548692941665649,4.616710837445575,-80.76190476190476,0.5259695722470125,-82.0,-80.0,2.0,-81.0,-81.0,-80.0,1.0,0.0,0.6,0.8944271909999159,2.0,128.0,0.0,128.0,128.0,1.0,0.0,1.0,0.22743464708328248,0.15861133846554254,0.5281929969787598
1_moving,2,1_moving_01.csv,./1_moving/1_moving_01.csv,1,0EA06D7AA587,shifted,1777283518.4493718,1777283523.4493718,18,4.084998846054077,4.406365993808586,-80.44444444444444,0.5983516452371671,-81.0,-79.0,2.0,-80.5,-81.0,-80.0,1.0,0.11764705882352941,0.35294117647058826,0.582323231565392,1.0,128.0,0.0,128.0,128.0,1.0,0.0,1.0,0.2402940497678869,0.16131528503590603,0.5281929969787598
1_moving,2,1_moving_01.csv,./1_moving/1_moving_01.csv,1,0EA06D7AA587,shifted,1777283520.9493718,1777283525.9493718,19,4.1966071128845215,4.527466948637092,-80.84210526315789,1.4960705687949363,-84.0,-78.0,6.0,-81.0,-81.0,-80.0,1.0,-0.16666666666666666,0.9444444444444444,1.3437096247164249,3.0,128.0,0.0,128.0,128.0,1.0,0.0,1.0,0.23314483960469565,0.16944755954442325,0.7224421501159668
1_moving,2,1_moving_01.csv,./1_moving/1_moving_01.csv,1,0EA06D7AA587,shifted,1777283523.4493718,1777283528.4493718,22,4.6097190380096436,4.772525140599247,-81.54545454545455,1.5293276219327927,-84.0,-78.0,6.0,-82.0,-82.0,-81.0,1.0,-0.047619047619047616,1.6666666666666667,1.98748921473421,5.0,128.0,0.0,128.0,128.0,1.0,0.0,1.0,0.2195104303814116,0.16131342196149095,0.7757346630096436
1_moving,2,1_moving_01.csv,./1_moving/1_moving_01.csv,1,0EA06D7AA587,shifted,1777283525.9493718,1777283530.9493718,25,4.84144926071167,5.163743055798363,-81.36,0.9748846085563154,-84.0,-79.0,5.0,-81.0,-82.0,-81.0,1.0,-0.041666666666666664,0.875,1.4282613750835509,5.0,128.0,0.0,128.0,128.0,1.0,0.0,1.0,0.20172705252965292,0.1516811182585609,0.719628095626831
1_moving,2,1_moving_01.csv,./1_moving/1_moving_01.csv,1,0EA06D7AA587,shifted,1777283528.4493718,1777283533.4493718,22,4.788404941558838,4.594431813621433,-80.95454545454545,0.5622416762205902,-82.0,-80.0,2.0,-81.0,-81.0,-81.0,0.0,0.047619047619047616,0.42857142857142855,0.7221786137191952,2.0,128.0,0.0,128.0,128.0,1.0,0.0,1.0,0.22801928293137325,0.1847954948306678,0.719628095626831
1_moving,2,1_moving_01.csv,./1_moving/1_moving_01.csv,1,0EA06D7AA587,shifted,1777283530.9493718,1777283535.9493718,20,4.515813827514648,4.428880543777272,-81.2,1.3266499161421599,-84.0,-80.0,4.0,-81.0,-81.25,-80.0,1.25,0.05263157894736842,0.7894736842105263,1.2762479634718045,4.0,128.0,0.0,128.0,128.0,1.0,0.0,1.0,0.23767441197445519,0.18138814837892406,0.6918022632598877
1_moving,2,1_moving_01.csv,./1_moving/1_moving_01.csv,1,0EA06D7AA587,shifted,1777283533.4493718,1777283538.4493718,22,4.912676095962524,4.478210973054109,-82.22727272727273,1.4438527431153267,-85.0,-80.0,5.0,-82.0,-83.0,-81.0,2.0,-0.09523809523809523,1.0476190476190477,1.540091583694879,4.0,128.0,0.0,128.0,128.0,1.0,0.0,1.0,0.2339369569505964,0.17932535340067482,0.7631208896636963
1_moving,2,1_moving_01.csv,./1_moving/1_moving_01.csv,1,0EA06D7AA587,shifted,1777283535.9493718,1777283540.9493718,20,4.894921064376831,4.08586772635652,-82.25,1.1779218989389746,-85.0,-80.0,5.0,-82.0,-83.0,-81.0,2.0,0.0,1.0526315789473684,1.4142135623730951,3.0,128.0,0.0,128.0,128.0,1.0,0.0,1.0,0.2576274244408858,0.18032529499826846,0.7631208896636963
1_moving,2,1_moving_02.csv,./1_moving/1_moving_02.csv,2,0EA06D7AA587,shifted,1777283552.03793,1777283557.03793,25,4.951357841491699,5.049120019260864,-81.0,0.6928203230275509,-83.0,-80.0,3.0,-81.0,-81.0,-81.0,0.0,0.0,0.6666666666666666,0.9128709291752769,2.0,128.0,0.0,128.0,128.0,1.0,0.0,1.0,0.2063065767288208,0.1683174876922496,0.6238243579864502
1_moving,2,1_moving_02.csv,./1_moving/1_moving_02.csv,2,0EA06D7AA587,shifted,1777283554.53793,1777283559.53793,23,4.811347961425781,4.780365125199601,-80.95652173913044,0.8064016083039741,-83.0,-80.0,3.0,-81.0,-81.0,-80.0,1.0,0.0,0.9090909090909091,1.087114613009218,2.0,128.0,0.0,128.0,128.0,1.0,0.0,1.0,0.2186976346102628,0.21716065307899385,1.0110251903533936
1_moving,2,1_moving_02.csv,./1_moving/1_moving_02.csv,2,0EA06D7AA587,shifted,1777283557.03793,1777283562.03793,13,3.1524059772491455,4.123834332830465,-80.92307692307692,0.8284868934053082,-83.0,-80.0,3.0,-81.0,-81.0,-80.0,1.0,0.08333333333333333,0.9166666666666666,1.1873172373979173,2.0,128.0,0.0,128.0,128.0,1.0,0.0,1.0,0.26270049810409546,0.22451217765550077,0.8153929710388184
1_moving,2,1_moving_02.csv,./1_moving/1_moving_02.csv,2,0EA06D7AA587,shifted,1777283559.53793,1777283564.53793,14,4.7258312702178955,2.962441779973769,-80.92857142857143,0.9609731462195505,-83.0,-79.0,4.0,-81.0,-81.0,-80.25,0.75,0.0,1.2307692307692308,1.5191090506254998,3.0,128.0,0.0,128.0,128.0,1.0,0.0,1.0,0.3635254823244535,0.411158453280004,1.6359009742736816
1_moving,2,1_moving_02.csv,./1_moving/1_moving_02.csv,2,0EA06D7AA587,shifted,1777283562.03793,1777283567.03793,20,4.196352958679199,4.76604332308,-80.85,0.8529361054615989,-82.0,-79.0,3.0,-81.0,-81.25,-80.0,1.25,0.05263157894736842,1.105263157894737,1.3168416845470319,3.0,128.0,0.0,128.0,128.0,1.0,0.0,1.0,0.22086068203574732,0.10024586742104634,0.4668421745300293
1_moving,2,1_moving_02.csv,./1_moving/1_moving_02.csv,2,0EA06D7AA587,shifted,1777283564.53793,1777283569.53793,23,4.89637017250061,4.697357264606842,-81.0,0.8340576562282991,-83.0,-80.0,3.0,-81.0,-81.5,-80.0,1.5,0.0,0.9090909090909091,1.1677484162422844,3.0,128.0,0.0,128.0,128.0,1.0,0.0,1.0,0.22256228056820956,0.12703020106216792,0.5054008960723877
1_moving,2,1_moving_02.csv,./1_moving/1_moving_02.csv,2,0EA06D7AA587,shifted,1777283567.03793,1777283572.03793,19,4.819856882095337,3.9420257623376003,-81.10526315789474,1.0205641805087007,-83.0,-80.0,3.0,-81.0,-81.5,-80.0,1.5,0.05555555555555555,1.2777777777777777,1.614937983749848,3.0,128.0,0.0,128.0,128.0,1.0,0.0,1.0,0.26776982678307426,0.2261750251991477,1.0547878742218018
1_moving,2,1_moving_02.csv,./1_moving/1_moving_02.csv,2,0EA06D7AA587,shifted,1777283569.53793,1777283574.53793,19,4.902164936065674,3.8758385831156494,-82.15789473684211,1.3084003047006372,-84.0,-80.0,4.0,-83.0,-83.0,-81.0,2.0,-0.1111111111111111,1.4444444444444444,1.7916128329552332,3.0,128.0,0.0,128.0,128.0,1.0,0.0,1.0,0.272342496448093,0.22956990860117937,1.0547878742218018
1_moving,2,1_moving_02.csv,./1_moving/1_moving_02.csv,2,0EA06D7AA587,shifted,1777283572.03793,1777283577.03793,26,4.796141147613525,5.421024778000359,-81.65384615384616,1.3570983664905654,-84.0,-79.0,5.0,-81.0,-83.0,-81.0,2.0,0.04,1.0,1.3108775686539151,3.0,128.0,0.0,128.0,128.0,1.0,0.0,1.0,0.191845645904541,0.14580355857794702,0.604515790939331
1_moving,2,1_moving_02.csv,./1_moving/1_moving_02.csv,2,0EA06D7AA587,shifted,1777283574.53793,1777283579.53793,24,4.7195940017700195,5.085183172747302,-80.75,0.82915619758885,-82.0,-79.0,3.0,-81.0,-81.0,-80.0,1.0,0.08695652173913043,1.0434782608695652,1.2824244525002284,2.0,128.0,0.0,128.0,128.0,1.0,0.0,1.0,0.20519973920739215,0.13010386274790836,0.604515790939331
